date,open,high,low,close
Tue Nov 04 2014 14:04:01 GMT-0600 (CST),23,25,22,24
Tue Nov 05 2014 14:04:01 GMT-0600 (CST),23,25,22,24
Tue Nov 06 2014 14:04:01 GMT-0600 (CST),23,25,22,24
Tue Nov 07 2014 14:04:01 GMT-0600 (CST),23,25,22,24
Tue Nov 08 2014 14:04:01 GMT-0600 (CST),23,25,22,24
Tue Nov 09 2014 14:04:01 GMT-0600 (CST),23,25,22,24
Tue Nov 10 2014 14:04:01 GMT-0600 (CST),23,25,22,24
Tue Nov 11 2014 14:04:01 GMT-0600 (CST),23,25,22,24
Tue Nov 12 2014 14:04:01 GMT-0600 (CST),23,25,22,24
Tue Nov 13 2014 14:04:01 GMT-0600 (CST),23,25,22,24
